title,human,full,id,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4
Maggie Lander and Rebecca Rego at Green Lantern,"Witch Village presents a woman songwriter showcase at the Green Lantern in Lexington,Ky featuring Rebecca Rego and Maggie Lander.....Early show! ","<p><span style=""color: rgb(29, 33, 41);"">Witch Village presents a woman songwriter showcase at the Green Lantern in Lexington,Ky featuring Rebecca Rego and Maggie Lander.....Early show! </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Sunday, March 10th show at 6pm!</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Maggie Lander - 6pm (solo)</span></p><p><span style=""color: rgb(29, 33, 41);"">Rebecca Rego  (w/ full band, ft. J. Tom Hnatow, Blake Cox, and Zachary Martin) - 7pm</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Tickets: $5 at the door </span></p>",3e076d70-3fb7-11e9-b43e-456ed9f9b823,"Witch Village hosts woman songwriter showcase with Rebecca Rego and Maggie Lander at Green Lantern in Lexington, KY. Early show, $5 entry.","Witch Village hosts woman songwriter showcase with Rebecca Rego and Maggie Lander at the Green Lantern in Lexington, Ky. Early show!","Witch Village presents a woman songwriter showcase at the Green Lantern in Lexington, KY featuring Rebecca Rego and Maggie Lander.","Witch Village hosts woman songwriter showcase with Rebecca Rego and Maggie Lander at Green Lantern in Lexington, KY. Early show!","Witch Village hosts woman songwriter showcase with Rebecca Rego and Maggie Lander at Green Lantern in Lexington, KY. Early show!"
BrickUniverse Lexington LEGO Fan Expo,"Release the builder within at BrickUniverse Lexington, the ultimate LEGO lover's paradise","<p><span style=""color: rgb(29, 33, 41);"">Release the builder within at BrickUniverse Lexington, the ultimate LEGO lover's paradise that will take over the Lexington Convention Center in downtown Lexington, Kentucky! </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Choose from Saturday or Sunday admission, and experience hands-on LEGO attractions and activities built to inspire, educate, and entertain. This fun, family-friendly event will have tons of amazing LEGO creations to gawk at, building zones to unleash your creative energy, specials guests to meet, and vendors selling the latest LEGO sets, mini-figures, and accessories.</span></p>",fa945630-8146-11e9-b43e-456ed9f9b823,BrickUniverse Lexington: Unleash your LEGO creativity at this ultimate paradise for LEGO lovers with hands-on attractions and activities.,"BrickUniverse Lexington: Unleash your inner builder at this ultimate LEGO lover's paradise with hands-on attractions and activities in Lexington, Kentucky.","BrickUniverse Lexington: Unleash your inner LEGO builder at this ultimate paradise with hands-on attractions, building zones, and LEGO displays.","BrickUniverse Lexington: Unleash your inner builder at this ultimate LEGO lover's paradise with hands-on attractions, building zones, and vendors.","BrickUniverse Lexington: Unleash your inner builder at this ultimate LEGO lover's paradise with hands-on attractions, building zones, and vendors."
Bleach Garden / Skunch / Bralette ,Bleach Garden is hitting the road from Atlanta in support of their upcoming full length Parasite. ,"<p><span style=""color: rgb(29, 33, 41);"">Doors 8pm / Show 9pm / $5</span></p><p><span style=""color: rgb(29, 33, 41);"">This event is All Ages</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Bleach Garden is hitting the road from Atlanta in support of their upcoming full length Parasite. </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Check it out here! </span></p><p><br></p><p><a href=""http://bleachgarden94.bandcamp.com/?fbclid=IwAR3_Fm11SQjrTXDhqBdgrKVErj9TGhZQqu7SmL1S4XvICDng3GJYy7EYPEA"" target=""_blank"" style=""color: rgb(56, 88, 152);"">bleachgarden94.bandcamp.com</a></p>",83bb8670-c2a8-11e9-b43e-456ed9f9b823,"Bleach Garden, an Atlanta-based band, embarks on a tour promoting their upcoming full-length album ""Parasite,"" promising an energetic live show for all ages.","Bleach Garden, an Atlanta-based band, embarks on a tour to promote their forthcoming full-length album ""Parasite."" Catch their energetic live show for $5.","Bleach Garden, an Atlanta-based band, embarks on a tour to promote their forthcoming full-length album ""Parasite."" $5 entry, all ages event.","Bleach Garden, an Atlanta-based band, is embarking on a tour to promote their upcoming full-length album ""Parasite."" Catch their energetic live show for $5!","Bleach Garden, an Atlanta-based band, embarks on a tour to promote their forthcoming full-length album ""Parasite,"" promising an energetic live show for all ages."
Sister Ray: An Evening of Music by The Velvet Underground,An all-star lineup of local musicians paying tribute to the sounds of The Velvet Underground,"<p><span style=""color: rgb(29, 33, 41);"">An all-star lineup of local musicians paying tribute to the sounds of The Velvet Underground featuring: Tim Welch, Willie Eames, Sam McWilliams, Kim Conlee, Robby Cosenza, and Scott Whiddon</span></p><p><span style=""color: rgb(29, 33, 41);"">Doors at 8pm</span></p><p><span style=""color: rgb(29, 33, 41);"">Show at 9pm</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Warhol, Factory, Sedgwick - Era Dress Encouraged but not required!</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">$5 surcharge to anyone under 21 years of age</span></p>",285fec60-1413-11e9-b43e-456ed9f9b823,"Tribute to The Velvet Underground featuring local stars Tim Welch, Willie Eames, Sam McWilliams, Kim Conlie, Robby Cosenza & Scott Whiddon. Warhol-era dress encouraged.","Velvet Underground tribute concert by local musicians Tim Welch, Willie Eames, Sam McWilliams, Kim Conlee, Robby Cosenza, and Scott Whiddon. Warhol-era dress encouraged.","Tribute concert celebrating The Velvet Underground's iconic sound, featuring local all-star musicians in a Factory-inspired setting.","Velvet Underground tribute show featuring local all-star musicians Tim Welch, Willie Eames, Sam McWilliams, Kim Conlee, Robby Cosenza, and Scott Whiddon. Warhol-era dress encouraged.","Tribute concert honoring The Velvet Underground featuring local musicians Tim Welch, Willie Eames, Sam McWilliams, Kim Conlie, Robby Cosenza, and Scott Whiddon. Warhol-inspired attire encouraged."
"Salman Rushdie: ""On Civility""",World-renowned author Salman Rushdie will give Transylvania University’s 2019 William R. Kenan Jr. Lecture,"<p><span style=""color: rgb(29, 33, 41);"">World-renowned author Salman Rushdie will give Transylvania University’s 2019 William R. Kenan Jr. Lecture on Wednesday, March 27.</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">A powerful literary artist who has shown sweeping creative courage even against threats to his life, Rushdie exemplifies the theme of Transylvania’s 2018-19 academic year: “On Civility.” This also is the topic of his lecture.</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">The public is invited to this free event at 7:30 p.m. in Haggin Auditorium</span></p>",1cd32a10-351f-11e9-b43e-456ed9f9b823,"Renowned author Salman Rushdie to deliver lecture on civility at Transylvania University, exemplifying creative courage against threats.","Renowned author Salman Rushdie to deliver lecture on civility at Transylvania University, exemplifying creative courage against threats.","Renowned author Salman Rushdie to deliver lecture on ""On Civility"" at Transylvania University, exemplifying creative courage against threats.","Renowned author Salman Rushdie to deliver lecture on civility at Transylvania University, exemplifying creative courage against threats.","Renowned author Salman Rushdie to deliver lecture on civility at Transylvania University, exemplifying creative courage against threats."
Boat Drinks for Parachutes,Come drink boat drink at ONA and support The Parachute Factory to keep our boat from sinking,"<p><span style=""color: rgb(29, 33, 41);"">Our boat full of boat drink is bottomless: burden of slushy goodness. Come drink boat drink at ONA on Friday, January 18th, and support The Parachute Factory to keep our boat from sinking. </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">We will be there at 8 pm, but boat drink sales help us out all day long, so stop by whenever boat drink suits you (only on Friday, January 18th!) </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">We will have new TPF tote bags, a few other things, and maybe even a boat. The water is open, the slushies are cold, and possibilities are endless. Come hang.</span></p>",3ba6a120-1a07-11e9-b43e-456ed9f9b823,"Bottomless boat drinks at ONA support The Parachute Factory's mission. Enjoy slushy goodness, grab TPF merch, and hang out.","Bottomless boat drinks to support The Parachute Factory at ONA. Slushy goodness, new tote bags, and potential for a boat. Come hang!","Bottomless boat drinks at ONA to support The Parachute Factory. Slushy goodness, TPF tote bags, and maybe a boat. Come hang!","Bottomless boat drinks at ONA support The Parachute Factory. Slushy goodness, TPF tote bags, and maybe a boat. Come hang and drink.","Bottomless boat drinks at ONA support The Parachute Factory's mission. Slushy goodness, tote bags, and more await on Friday."
Opening Reception | Half Dozen,"The work of six Transylvania University studio art majors connected, not only as graduating studio art majors, but moreover, their mutual love for the process of creating artworks that spark conversation","<p><span style=""color: rgb(29, 33, 41);"">A senior exhibition by Jessie Dees, Samara Lyons, Josh Porter, Sarah Schaaf, Sonora Schuck, and Stephanie Wayne.</span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">""Half Dozen"" features the work of six Transylvania University studio art majors connected, not only as graduating studio art majors, but moreover, their mutual love for the process of creating artworks that spark conversation. Through a variety of media—including textiles, installation and video—""Half Dozen"" explores ideas of virtual reality, depression, historical events, politics, family and culture, perspective and form. </span></p>",9d4e9ae0-3aa5-11e9-b43e-456ed9f9b823,"Transylvania University's ""Half Dozen"" senior art exhibition features works by 6 studio majors exploring diverse themes through varied media.","Transylvania University's ""Half Dozen"" exhibition showcases diverse artworks by 6 studio art majors exploring virtual reality, mental health, history, politics, family & culture.","Transylvania University's ""Half Dozen"" senior exhibition showcases diverse artworks by 6 studio art majors exploring virtual reality, mental health, history, politics, and culture through textiles, installations, and videos.","Transylvania University's ""Half Dozen"" senior exhibition features artworks in various media by 6 studio art majors exploring diverse themes.","Transylvania University's ""Half Dozen"" showcases artworks by 6 studio art majors exploring diverse themes through textiles, installation & video."
Uk's 2nd Annual Curiosity Fair,"Join UK faculty, staff and students as we celebrate the importance of curiosity in higher education. The fair will feature a number of “Curiosity Stations” hosted by faculty, staff and students from a wide variety of colleges and departments on campus. Open to all","<p>Join fellow UK faculty, staff and students as we celebrate the importance of curiosity in higher education. The fair will feature a number of “Curiosity Stations” hosted by faculty, staff and students from a wide variety of colleges and departments on campus. Some of our stations include the following:</p><ul><li>The World of Asian Superheroes</li><li>How do bacteria communicate?</li><li>Latin: the Universal Language</li><li>A honey bee observation hive</li><li>Magician John Shore</li><li>Stinky, squishy, fuzzy, and dead: Plants get sick too!</li></ul><p>You can visit our website for more information: http://libraries.uky.edu/CuriosityFair</p>",f2d0d1d0-d650-11e9-b43e-456ed9f9b823,"The UK Curiosity Fair celebrates intellectual curiosity with interactive stations exploring diverse topics like superheroes, bacteria, Latin, and more.","Join UK faculty, staff and students to celebrate curiosity in higher education with interactive stations on diverse topics.","Join UK faculty, staff and students to celebrate curiosity in higher education with a fair featuring interactive ""Curiosity Stations"".","Join UK faculty, staff and students in celebrating curiosity with interactive ""Curiosity Stations"" on diverse topics like superheroes, bacteria, and more.","Join UK community in celebrating curiosity with interactive ""Curiosity Stations"" on diverse topics like Asian superheroes, bacteria, Latin, and more."
Eat/Art,Celebrating 40 years of art in 40 minutes.,"<p><span style=""color: rgb(29, 33, 41);"">Celebrating 40 years of art in 40 minutes. We will present a significant artwork from the Museum’s collection and discuss its importance in our four decade-long history.  </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">In November we will focus on gifts from Robert C. May. </span></p><p><br></p><p><span style=""color: rgb(29, 33, 41);"">Light lunch served; reservations are required. </span></p><p><span style=""color: rgb(29, 33, 41);""><span class=""ql-cursor"">﻿</span>Contact Kate Sprengnether at ksprengnether@uky.edu or 859-257-6218 to make your reservation.</span></p>",fd62c880-f9e4-11e9-b43e-456ed9f9b823,"University of Kentucky art museum celebrates 40th anniversary with presentation on Robert C. May's art donations, light lunch served.","Art museum celebrates 40th anniversary with highlights from Robert C. May's collection, featuring a significant artwork and discussion over lunch.","UK Art Museum celebrates 40 years with a 40-minute presentation on a significant artwork from its collection, focusing on gifts from Robert C. May. Light lunch served.","Art museum celebrates 40th anniversary with talk on Robert C. May's gifts, showcasing significant artwork from collection. Light lunch.",Art museum celebrates 40th anniversary with special exhibition showcasing significant artworks and gifts from renowned collector Robert C. May.
2019 Lexington Pride Festival,Join us for Lexington's first ever two-day celebration of LGBTQ+ Pride,"<p><span style=""color: rgb(29, 33, 41);"">Join us for Lexington's first ever two-day celebration of LGBTQ+ Pride on Friday, June 28th 7pm-11pm &amp; Saturday, June 29th 11am-11pm!</span></p><p><span style=""color: rgb(29, 33, 41);"">Fabulous food trucks, vendors, kids activities, and entertainment both days. Stay tuned for more announcements on this event page!</span></p><p><span style=""color: rgb(29, 33, 41);"">Produced by the </span><a href=""https://www.facebook.com/PCSOKY/"" target=""_blank"" style=""color: rgb(54, 88, 153); background-color: rgb(255, 255, 255);"">Pride Community Services Organization</a></p>",80f3c9b0-6c1e-11e9-b43e-456ed9f9b823,"Join Lexington's inaugural 2-day LGBTQ+ Pride celebration with food trucks, vendors, kids activities & entertainment. Produced by Pride Community Services.","Lexington's inaugural two-day LGBTQ+ Pride celebration with food trucks, vendors, kids activities, and entertainment. Produced by Pride Community Services Organization.","Join Lexington's first two-day LGBTQ+ Pride celebration with food trucks, vendors, kids activities, and entertainment. Produced by Pride Community Services Organization.","Lexington's inaugural two-day LGBTQ+ Pride celebration with food trucks, vendors, kids activities, and entertainment. Produced by Pride Community Services Organization.","Join Lexington's inaugural two-day LGBTQ+ Pride celebration with food trucks, vendors, kids activities, and entertainment. Produced by Pride Community Services Organization."
